ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2014-01-03,1451.9535991576,-1237.2064612993163,4403.11758069246,1451.9535991576,1451.9535991576,96.33616129355093,96.33616129355093,96.33616129355093,419.72081846341126,419.72081846341126,419.72081846341126,-323.38465716986036,-323.38465716986036,-323.38465716986036,0.0,0.0,0.0,1548.2897604511509
2014-01-04,1452.071020413345,-1538.7066284867649,3761.894330345636,1452.071020413345,1452.071020413345,-399.0006549966392,-399.0006549966392,-399.0006549966392,21.485158003268527,21.485158003268527,21.485158003268527,-420.4858129999077,-420.4858129999077,-420.4858129999077,0.0,0.0,0.0,1053.0703654167057
2014-01-05,1452.1884416690898,-1545.8849281104413,3916.896287720045,1452.1884416690898,1452.1884416690898,-307.3834078953307,-307.3834078953307,-307.3834078953307,203.648796729177,203.648796729177,203.648796729177,-511.03220462450776,-511.03220462450776,-511.03220462450776,0.0,0.0,0.0,1144.805033773759
2014-01-06,1452.3058629248349,-1565.4852176265726,4045.3552632308174,1452.3058629248349,1452.3058629248349,-182.210625950082,-182.210625950082,-182.210625950082,411.6104265012845,411.6104265012845,411.6104265012845,-593.8210524513665,-593.8210524513665,-593.8210524513665,0.0,0.0,0.0,1270.0952369747529
2014-01-07,1452.42328418058,-1906.708150033296,3404.313596702897,1452.42328418058,1452.42328418058,-839.8314563003534,-839.8314563003534,-839.8314563003534,-172.03488485537932,-172.03488485537932,-172.03488485537932,-667.7965714449739,-667.7965714449739,-667.7965714449739,0.0,0.0,0.0,612.5918278802266
2014-01-09,1452.6581266920696,-1810.5695702694659,3576.881172001238,1452.6581266920696,1452.6581266920696,-629.9337288433436,-629.9337288433436,-629.9337288433436,156.03583920798442,156.03583920798442,156.03583920798442,-785.969568051328,-785.969568051328,-785.969568051328,0.0,0.0,0.0,822.724397848726
2014-01-10,1452.7755479478149,-1589.5905764349945,3843.2767428034217,1452.7755479478149,1452.7755479478149,-409.2813131229798,-409.2813131229798,-409.2813131229798,419.72081846392575,419.72081846392575,419.72081846392575,-829.0021315869055,-829.0021315869055,-829.0021315869055,0.0,0.0,0.0,1043.494234824835
2014-01-11,1452.8929692035597,-2035.0764123047973,3394.9186270315545,1452.8929692035597,1452.8929692035597,-839.4369781339459,-839.4369781339459,-839.4369781339459,21.485158003865173,21.485158003865173,21.485158003865173,-860.922136137811,-860.922136137811,-860.922136137811,0.0,0.0,0.0,613.4559910696138
2014-01-13,1453.1278117150496,-1487.0178203805,3623.456467212738,1453.1278117150496,1453.1278117150496,-479.9765985600212,-479.9765985600212,-479.9765985600212,411.61042650093157,411.61042650093157,411.61042650093157,-891.5870250609528,-891.5870250609528,-891.5870250609528,0.0,0.0,0.0,973.1512131550284
2014-01-14,1453.2452329707946,-2561.8486347504986,2941.127314939288,1453.2452329707946,1453.2452329707946,-1063.0333356432598,-1063.0333356432598,-1063.0333356432598,-172.0348848565422,-172.0348848565422,-172.0348848565422,-890.9984507867175,-890.9984507867175,-890.9984507867175,0.0,0.0,0.0,390.21189732753487
2014-01-15,1453.3626542265395,-3198.88647696391,2349.6918057138014,1453.3626542265395,1453.3626542265395,-1921.0847903454996,-1921.0847903454996,-1921.0847903454996,-1040.4661540528655,-1040.4661540528655,-1040.4661540528655,-880.6186362926344,-880.6186362926344,-880.6186362926344,0.0,0.0,0.0,-467.7221361189602
2014-01-16,1453.4800754822843,-1974.1885522366226,3405.02223323537,1453.4800754822843,1453.4800754822843,-705.2942941906608,-705.2942941906608,-705.2942941906608,156.03583920807216,156.03583920807216,156.03583920807216,-861.3301333987329,-861.3301333987329,-861.3301333987329,0.0,0.0,0.0,748.1857812916235
2014-01-18,1453.7149179937744,-2065.2904210364577,3431.9783454584112,1453.7149179937744,1453.7149179937744,-779.0005598729192,-779.0005598729192,-779.0005598729192,21.48515800296467,21.48515800296467,21.48515800296467,-800.4857178758841,-800.4857178758841,-800.4857178758841,0.0,0.0,0.0,674.7143581208552
2014-01-19,1453.8323392495192,-1861.1490018543213,3582.2979857009186,1453.8323392495192,1453.8323392495192,-557.8989010014118,-557.8989010014118,-557.8989010014118,203.64879672946034,203.64879672946034,203.64879672946034,-761.5476977308721,-761.5476977308721,-761.5476977308721,0.0,0.0,0.0,895.9334382481074
2014-01-20,1453.9497605052643,-1657.0907925171216,3788.1434618262388,1453.9497605052643,1453.9497605052643,-307.2667695737522,-307.2667695737522,-307.2667695737522,411.61042650186886,411.61042650186886,411.61042650186886,-718.8771960756211,-718.8771960756211,-718.8771960756211,0.0,0.0,0.0,1146.682990931512
2014-01-21,1454.0671817610091,-2262.0527067382686,3357.2042842042442,1454.0671817610091,1454.0671817610091,-846.067051631963,-846.067051631963,-846.067051631963,-172.03488485498198,-172.03488485498198,-172.03488485498198,-674.032166776981,-674.032166776981,-674.032166776981,0.0,0.0,0.0,608.0001301290462
2014-01-23,1454.3020242724992,-1705.1109417945652,3800.754234239293,1454.3020242724992,1454.3020242724992,-428.1578649056219,-428.1578649056219,-428.1578649056219,156.035839209322,156.035839209322,156.035839209322,-584.1937041149438,-584.1937041149438,-584.1937041149438,0.0,0.0,0.0,1026.1441593668774
2014-01-26,1454.654288039734,-1590.0982600989182,3946.736387513754,1454.654288039734,1454.654288039734,-268.49422797441656,-268.49422797441656,-268.49422797441656,203.64879672782277,203.64879672782277,203.64879672782277,-472.1430247022394,-472.1430247022394,-472.1430247022394,0.0,0.0,0.0,1186.1600600653173
2014-01-27,1454.771709295479,-1166.9256584357547,4396.495150377429,1454.771709295479,1454.771709295479,-34.75916360159626,-34.75916360159626,-34.75916360159626,411.61042650066304,411.61042650066304,411.61042650066304,-446.36959010225934,-446.36959010225934,-446.36959010225934,0.0,0.0,0.0,1420.0125456938827
2014-01-28,1454.8891305512238,-1903.8797286484105,3466.9016649110777,1454.8891305512238,1454.8891305512238,-600.2981940748618,-600.2981940748618,-600.2981940748618,-172.03488485299638,-172.03488485299638,-172.03488485299638,-428.2633092218654,-428.2633092218654,-428.2633092218654,0.0,0.0,0.0,854.590936476362
2014-01-30,1455.1239730627137,-1692.477590195304,3849.0995303747636,1455.1239730627137,1455.1239730627137,-262.15188295533756,-262.15188295533756,-262.15188295533756,156.03583920999077,156.03583920999077,156.03583920999077,-418.1877221653284,-418.1877221653284,-418.1877221653284,0.0,0.0,0.0,1192.972090107376
2014-01-31,1455.2413943184588,-1561.1834023191377,3993.318322679136,1455.2413943184588,1455.2413943184588,-7.488902313143946,-7.488902313143946,-7.488902313143946,419.72081846357975,419.72081846357975,419.72081846357975,-427.20972077672366,-427.20972077672366,-427.20972077672366,0.0,0.0,0.0,1447.752492005315
2014-02-01,1455.3588155742038,-1689.1122285467561,3828.1399417149987,1455.3588155742038,1455.3588155742038,-424.36897081445744,-424.36897081445744,-424.36897081445744,21.48515800381066,21.48515800381066,21.48515800381066,-445.85412881826807,-445.85412881826807,-445.85412881826807,0.0,0.0,0.0,1030.9898447597463
2014-02-02,1455.4762368299487,-1525.4369345727537,3837.324536142819,1455.4762368299487,1455.4762368299487,-270.3398928833349,-270.3398928833349,-270.3398928833349,203.64879672740878,203.64879672740878,203.64879672740878,-473.98868961074373,-473.98868961074373,-473.98868961074373,0.0,0.0,0.0,1185.1363439466138
2014-02-03,1455.5936580856935,-1367.6075623161664,4004.075282916757,1455.5936580856935,1455.5936580856935,-99.61545054122445,-99.61545054122445,-99.61545054122445,411.6104265011628,411.6104265011628,411.6104265011628,-511.2258770423872,-511.2258770423872,-511.2258770423872,0.0,0.0,0.0,1355.9782075444691
2014-02-04,1455.7110793414386,-2070.1684996466865,3597.482100052821,1455.7110793414386,1455.7110793414386,-728.9649018056559,-728.9649018056559,-728.9649018056559,-172.03488485373418,-172.03488485373418,-172.03488485373418,-556.9300169519219,-556.9300169519219,-556.9300169519219,0.0,0.0,0.0,726.7461775357826
2014-02-06,1455.9459218529284,-1597.2191079309819,3762.436687490164,1455.9459218529284,1455.9459218529284,-514.0037901768287,-514.0037901768287,-514.0037901768287,156.03583920903472,156.03583920903472,156.03583920903472,-670.0396293858635,-670.0396293858635,-670.0396293858635,0.0,0.0,0.0,941.9421316760997
2014-02-07,1456.0633431086733,-1624.2026278913374,4068.6189959525736,1456.0633431086733,1456.0633431086733,-315.3573977836446,-315.3573977836446,-315.3573977836446,419.7208184645903,419.7208184645903,419.7208184645903,-735.0782162482349,-735.0782162482349,-735.0782162482349,0.0,0.0,0.0,1140.7059453250286
2014-02-08,1456.1807643644183,-2261.8816386823755,3441.4257868033988,1456.1807643644183,1456.1807643644183,-782.4173354143868,-782.4173354143868,-782.4173354143868,21.48515800325752,21.48515800325752,21.48515800325752,-803.9024934176443,-803.9024934176443,-803.9024934176443,0.0,0.0,0.0,673.7634289500315
2014-02-11,1456.5330281316533,-2605.4461948862786,2970.575930237783,1456.5330281316533,1456.5330281316533,-1188.936673673692,-1188.936673673692,-1188.936673673692,-172.0348848525991,-172.0348848525991,-172.0348848525991,-1016.9017888210929,-1016.9017888210929,-1016.9017888210929,0.0,0.0,0.0,267.5963544579613
